200 1200 225514 12 0 0.7
43 54 1 4057 4260 O 20
63 70 2 2098 0 C 0
5 21 2 7949 8469 O 30
179 114 1 938 0 C 0
21 138 1 5047 0 C 0
86 0 1 9709 7471 O 30
161 104 1 8329 0 C 0
137 2 1 8307 0 C 0
15 194 1 9778 0 C 0
69 70 1 2681 6153 M 10
193 42 1 6588 4545 O 10
43 117 1 5466 4315 M 20
187 69 1 7459 895 O 20
143 103 1 2852 5911 O 20
8 63 2 5457 8659 M 20
72 189 2 4215 0 C 0
63 159 1 9728 2281 M 10
93 125 2 6323 125 O 30
43 188 2 7985 3382 M 10
38 169 2 8361 9411 O 20
44 126 2 2042 846 M 30
27 82 2 259 0 C 0
31 165 2 4231 0 C 0
31 116 2 8154 1119 O 30
38 191 2 6543 0 C 0
92 5 1 2765 193 M 10
87 49 1 390 0 C 0
72 199 1 3762 0 C 0
185 115 1 3437 0 C 0
57 144 1 2158 1195 M 30
18 97 1 3524 7185 M 20
66 197 1 9723 0 C 0
117 58 1 4056 0 C 0
46 182 2 3250 5242 M 10
95 186 2 4183 2791 O 20
17 96 2 8907 0 C 0
31 193 2 7525 2075 M 20
58 92 2 6718 9145 M 10
121 90 1 6372 0 C 0
95 67 1 3329 5806 O 30
15 67 2 6328 5736 O 20
3 138 2 8564 0 C 0
183 101 1 4513 0 C 0
61 27 1 8176 1577 O 30
122 171 1 2193 9242 M 10
150 197 2 3898 1393 O 10
172 156 1 3963 6091 M 10
142 170 2 7512 0 C 0
97 163 1 7546 3258 M 10
87 121 1 5449 6478 M 10
110 126 1 7064 9985 O 30
77 115 2 8075 2871 O 20
0 61 1 9908 4819 M 30
48 66 2 6549 4124 M 10
97 191 2 2916 4702 O 20
75 156 1 1201 7975 O 20
74 131 2 7934 888 O 20
31 161 2 4544 6772 O 10
49 174 1 9304 8136 M 10
42 163 2 6233 0 C 0
153 184 2 2952 4234 O 30
187 101 1 6892 6769 M 20
26 109 1 4120 9755 M 30
7 34 2 6720 5765 M 20
50 107 2 5875 0 C 0
143 120 1 7011 0 C 0
54 176 2 9920 1484 M 20
124 198 2 1327 8060 M 10
50 30 1 9154 2673 M 30
76 43 1 136 9543 M 20
17 73 2 6198 5028 O 10
42 28 1 5761 6438 M 10
110 117 2 502 0 C 0
135 144 2 2005 8535 M 20
30 39 2 2878 8815 O 20
113 148 1 3165 1725 O 30
132 85 1 8387 0 C 0
48 65 1 2021 3200 O 20
167 20 1 1762 0 C 0
46 78 2 4839 3583 M 30
66 152 2 3493 5728 M 10
135 123 1 4679 0 C 0
195 124 1 1566 0 C 0
86 119 1 7668 4679 O 30
90 98 1 4199 0 C 0
193 130 1 2233 0 C 0
158 184 1 4669 0 C 0
39 141 1 7066 6746 O 20
105 139 2 35 0 C 0
41 91 1 5272 0 C 0
26 191 2 49 6726 O 20
171 95 1 327 6273 M 30
93 132 2 1138 0 C 0
78 187 1 1909 2529 O 10
97 159 2 2523 9620 M 10
8 198 2 4211 8739 M 20
45 189 2 2121 6300 O 10
96 185 1 9156 0 C 0
8 174 2 1042 4918 O 30
193 165 1 3027 5608 M 20
153 170 1 2560 5968 M 30
185 60 1 7111 0 C 0
41 104 1 7121 2244 M 20
193 99 1 5918 553 O 20
27 106 2 8883 3302 O 10
41 198 1 4530 4957 O 10
133 191 2 142 7363 M 20
110 116 1 1565 0 C 0
48 170 2 6409 2971 M 10
9 69 1 15 31 O 30
4 160 2 1741 8907 M 30
99 133 2 253 5375 M 20
140 173 1 68 0 C 0
182 27 1 3043 6061 O 10
17 83 2 4998 0 C 0
48 167 1 9163 0 C 0
15 127 2 8016 0 C 0
4 42 2 1537 0 C 0
140 193 2 7902 1537 O 20
134 164 2 7909 9339 M 10
23 58 2 9578 5910 O 10
180 159 1 738 0 C 0
25 72 1 5703 7607 O 10
33 160 1 8214 9392 O 10
153 156 2 1404 0 C 0
39 183 1 9910 0 C 0
173 198 1 1097 8249 M 20
173 0 1 7988 0 C 0
162 171 2 9577 0 C 0
92 125 1 8697 3785 M 20
64 185 2 5056 709 O 10
113 92 1 3103 5611 O 20
63 23 1 7933 0 C 0
36 43 1 5276 9875 M 30
180 14 1 333 0 C 0
123 72 1 1705 1784 M 10
129 170 2 2422 871 O 10
140 154 2 6834 0 C 0
121 156 1 6627 9722 M 10
2 14 2 5921 7964 M 20
64 121 1 9067 6749 O 30
48 189 1 4539 6223 M 10
10 111 2 407 8056 O 10
25 114 2 475 0 C 0
8 178 1 1731 4228 O 10
86 101 1 6325 4864 M 30
42 125 2 2821 5571 O 30
131 77 1 7109 0 C 0
57 65 2 3290 0 C 0
62 179 2 4444 906 O 30
21 144 2 602 1974 M 20
17 162 1 8360 137 M 30
139 13 1 2843 7508 M 30
161 24 1 4951 2934 O 20
147 186 1 7294 1320 M 30
66 126 2 4529 5490 M 20
152 153 1 1986 5737 O 30
37 78 1 1186 2315 O 30
113 178 2 8026 9004 M 10
66 52 1 8567 2334 M 30
15 171 2 7764 434 O 10
13 199 2 6572 8434 O 20
112 49 1 4052 7527 O 20
177 11 1 6199 0 C 0
189 168 1 7420 6468 M 30
149 15 1 1227 3368 O 10
82 195 1 5953 0 C 0
121 131 2 6344 0 C 0
34 180 1 7158 6395 O 20
123 196 2 8468 0 C 0
143 185 2 175 1396 M 30
144 65 1 5203 2066 M 20
116 163 2 1608 8966 M 10
129 131 2 6075 7218 O 30
179 94 1 1800 1606 O 20
165 47 1 7636 0 C 0
54 141 2 1398 4139 O 20
97 169 2 5296 1971 O 10
23 135 2 5265 2055 M 20
0 83 2 1204 6113 M 10
34 21 1 3142 6383 O 10
61 122 2 2288 9457 O 10
62 111 2 3152 4681 M 30
102 190 2 4978 440 O 10
126 178 2 1945 0 C 0
85 152 2 1300 8299 O 10
116 129 2 3685 0 C 0
187 40 1 537 4241 O 30
9 194 2 1410 0 C 0
14 101 2 5425 5779 O 20
103 96 1 6605 1087 O 10
21 167 1 8652 3369 O 30
55 159 2 8456 5301 M 30
74 177 1 6012 769 M 20
69 166 2 6367 2863 O 10
111 178 2 5701 5189 M 20
53 11 1 3803 0 C 0
16 164 2 5298 0 C 0
17 63 1 7324 4709 M 30
55 130 1 1751 6409 M 30
38 130 1 3257 0 C 0
43 147 2 2536 1307 O 30
106 155 1 6660 8298 O 20
21 125 1 2047 4408 O 30
16 38 1 2178 0 C 0
44 180 2 7287 0 C 0
32 168 2 9959 48 M 20
41 151 1 3965 5216 O 10
124 168 1 2239 7251 O 20
96 1 1 4860 183 O 20
55 151 1 9028 6994 M 20
112 191 1 8998 7158 O 30
5 120 1 3173 4094 M 30
89 107 2 7022 0 C 0
12 128 1 7587 6165 M 10
126 60 1 2091 0 C 0
1 70 2 5029 7929 O 30
10 30 2 2956 0 C 0
66 136 2 5582 0 C 0
2 27 2 1013 4830 M 20
24 167 1 7789 42 M 30
99 24 1 5452 2900 O 20
71 62 1 4948 5404 O 10
149 148 1 8972 0 C 0
13 127 1 2683 7157 O 20
35 71 1 1495 0 C 0
165 97 1 912 5278 M 20
178 180 2 4465 2094 M 10
86 185 2 4920 6678 O 30
25 170 2 8640 0 C 0
153 43 1 2784 0 C 0
10 28 2 4493 0 C 0
55 31 1 481 8787 O 20
88 186 2 3924 9859 M 30
60 161 1 422 7148 M 10
74 178 2 5480 0 C 0
88 198 2 5067 592 O 20
87 28 1 7308 0 C 0
43 46 2 704 6324 O 20
45 1 1 6857 0 C 0
23 190 2 210 5380 O 30
115 29 1 7536 1846 M 10
52 83 2 3238 0 C 0
156 177 2 5364 0 C 0
141 52 1 6524 487 M 20
66 11 1 9459 3316 M 10
169 35 1 3553 4122 M 30
15 179 2 7573 2286 M 10
96 173 1 6575 282 O 30
167 148 1 6427 0 C 0
71 190 1 9040 2221 M 10
113 53 1 55 0 C 0
64 117 2 1670 0 C 0
180 113 1 8477 0 C 0
14 82 2 5838 0 C 0
64 8 1 7462 5204 O 10
40 155 2 4845 8041 M 10
85 27 1 3559 4729 O 20
35 164 2 4827 5614 M 20
8 191 2 3611 0 C 0
61 131 2 861 4402 O 10
189 36 1 4478 0 C 0
43 115 2 3676 4101 M 10
15 49 2 8939 8382 O 20
107 134 2 5584 0 C 0
10 45 2 7644 1600 M 10
75 38 1 1260 8422 M 20
159 61 1 92 5063 M 30
189 120 1 8304 0 C 0
162 184 2 1075 4274 O 30
15 28 2 5026 5582 O 10
53 188 2 1680 9759 M 10
83 194 1 1555 0 C 0
92 124 2 1099 0 C 0
57 196 2 3686 5213 O 20
144 99 1 4776 0 C 0
68 148 2 9893 0 C 0
91 137 2 8477 0 C 0
136 185 2 4752 3219 O 30
83 116 2 3651 0 C 0
11 164 2 4715 3886 O 20
10 34 2 8480 5089 M 30
37 25 1 7419 9314 M 30
65 119 2 9901 0 C 0
111 157 2 6655 0 C 0
104 196 2 2151 7664 M 30
101 170 1 5669 3767 M 30
154 43 1 3894 1168 O 20
46 150 2 8963 0 C 0
29 19 1 1002 8576 O 20
55 109 1 7425 880 M 30
16 112 1 6382 4118 M 20
9 176 2 2661 2239 O 10
78 125 1 3047 8828 O 20
47 147 2 8177 7354 O 10
16 148 2 9647 8563 O 20
18 83 1 7910 6946 O 30
L M L L S S L S L L L S
